"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","Belgium","Total","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1.1",""
"2010","Belgium","Total","Percentage change on previous period","Holiday and other short-stay accommodation","1.21",""
"2010","Belgium","Total","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","0.67",""
"2010","Bulgaria","Foreign country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,078,747",""
"2010","Bulgaria","Foreign country","Number","Hotels and similar accommodation","2,064,167",""
"2010","Bulgaria","Foreign country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","14,580",""
"2010","Bulgaria","Foreign country","Number","Holiday and other short-stay accommodation","12,643",""
"2010","Bulgaria","Foreign country","Number","Camping grounds, recreational vehicle parks and trailer parks","1,937",""
"2010","Bulgaria","Foreign country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","6.91",""
"2010","Bulgaria","Foreign country","Percentage change on previous period","Hotels and similar accommodation","6.88",""
"2010","Bulgaria","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","11.21",""
"2010","Bulgaria","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation","11.88",""
"2010","Bulgaria","Foreign country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","7.02",""
"2010","Bulgaria","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,265,763",""
"2010","Bulgaria","Reporting country","Number","Hotels and similar accommodation","1,996,409",""
"2010","Bulgaria","Reporting country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","269,354",""
"2010","Bulgaria","Reporting country","Number","Holiday and other short-stay accommodation","259,690",""
"2010","Bulgaria","Reporting country","Number","Camping grounds, recreational vehicle parks and trailer parks","9,664",""
"2010","Bulgaria","Reporting country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-5.45",""
"2010","Bulgaria","Reporting country","Percentage change on previous period","Hotels and similar accommodation","-4.94",""
"2010","Bulgaria","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","-9.06",""
"2010","Bulgaria","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation","-9.34",""
"2010","Bulgaria","Reporting country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-0.81",""
